Year,Company,Region,Product Category,Sub-Category,Revenue (USD),Profit (USD),Units Sold,Customer Segment
2015,Microsoft,South America,Gaming,Xbox Consoles,33188171,12213354,1012,Small & Medium Business
2021,Microsoft,South America,Software,Operating Systems,30948639,7215838,8383,Enterprise
2018,Microsoft,Europe,Software,Operating Systems,25792515,8815786,4854,Enterprise
2017,Microsoft,Europe,Gaming,Xbox Consoles,48056301,21080626,2347,Education
2022,Microsoft,Global,Gaming,Games,22630876,10348820,7020,Enterprise
2016,Microsoft,North America,Gaming,Xbox Consoles,25104359,7290116,1490,Retail
2017,Apple,Europe,Consumer Electronics,Smartphones,27590457,10866653,100,Education
2021,Microsoft,Europe,Software,Operating Systems,21438580,5895962,1584,Enterprise
2018,Apple,Africa,Wearables,Fitness Bands,30446488,11115548,8032,Retail
2022,Apple,Global,Consumer Electronics,Smartphones,29961657,8225043,8498,Retail
2014,Microsoft,Europe,Gaming,Xbox Consoles,28855768,5141436,2584,Enterprise
2014,Apple,Asia-Pacific,Services,Apple Music,15095540,6034159,1139,Enterprise
2016,Apple,South America,Services,Apple Music,29160127,4762626,4583,Small & Medium Business
2023,Microsoft,North America,Cloud Services,Enterprise Solutions,3523291,1399254,6034,Retail
2021,Apple,South America,Wearables,Apple Watch,24251374,2566089,5969,Retail
2021,Microsoft,Africa,Hardware,PC Accessories,20277687,8547241,1625,Retail
2017,Microsoft,Global,Software,Office Suite,34267905,13265816,7070,Education
2017,Microsoft,South America,Software,Operating Systems,9862211,1737620,2010,Education
2017,Apple,North America,Wearables,Apple Watch,42410889,12077436,5406,Education
2015,Apple,South America,Services,Apple Music,3705743,1287336,9102,Retail
2019,Microsoft,Global,Cloud Services,Enterprise Solutions,24279082,8317460,1446,Small & Medium Business
2022,Microsoft,Global,Gaming,Games,40150649,8889956,1433,Retail
2017,Microsoft,Africa,Software,Office Suite,42820969,8428104,8982,Retail
2023,Microsoft,Africa,Gaming,Xbox Consoles,31820894,11017460,3149,Education
2023,Microsoft,North America,Cloud Services,Enterprise Solutions,40564061,10554969,5035,Education
2018,Apple,South America,Wearables,Apple Watch,47316290,23146496,3846,Small & Medium Business
2015,Microsoft,Africa,Software,Office Suite,35368187,16634823,8141,Small & Medium Business
2016,Microsoft,Asia-Pacific,Software,Operating Systems,21538257,9027995,7907,Enterprise
2021,Apple,Africa,Wearables,Apple Watch,30647961,11437721,1665,Retail
2014,Apple,Asia-Pacific,Services,Apple Music,2144402,451880,7292,Retail
2017,Apple,South America,Accessories,Chargers,34072439,11678584,4585,Education
2020,Apple,South America,Services,Apple Music,6581123,3269902,7061,Enterprise
2023,Apple,Africa,Wearables,Fitness Bands,27196498,2733667,6662,Education
2020,Apple,Asia-Pacific,Accessories,Chargers,44790918,13332338,8748,Education
2016,Microsoft,South America,Hardware,Surface Devices,13484206,4603428,7739,Small & Medium Business
2020,Microsoft,North America,Software,Office Suite,22722334,5618595,3932,Education
2015,Apple,South America,Services,iCloud,24801294,5595860,8465,Retail
2015,Microsoft,North America,Hardware,PC Accessories,16667877,1996420,695,Education
2014,Microsoft,Africa,Software,Office Suite,3809547,1256382,9981,Retail
2017,Microsoft,North America,Hardware,PC Accessories,38622322,9623789,9142,Enterprise
2022,Microsoft,South America,Gaming,Xbox Consoles,21370348,5852768,3348,Retail
2019,Microsoft,South America,Software,Office Suite,28644137,11810087,432,Retail
2021,Apple,Africa,Accessories,AirPods,8746429,4157450,7850,Enterprise
2023,Microsoft,South America,Hardware,Surface Devices,30538068,14974946,9086,Retail
2022,Apple,Asia-Pacific,Services,iCloud,45770511,8111923,1566,Retail
2014,Apple,North America,Accessories,AirPods,45836834,14163795,9906,Enterprise
2015,Apple,Global,Consumer Electronics,Tablets,41674228,11900725,5297,Enterprise
2018,Apple,North America,Services,iCloud,9539728,1226462,7342,Education
2017,Apple,Europe,Wearables,Apple Watch,32302573,4703086,9102,Retail
2016,Apple,Europe,Services,Apple Music,42525219,6758040,247,Education
2021,Apple,South America,Consumer Electronics,Tablets,49449258,18749948,6481,Small & Medium Business
2018,Microsoft,Europe,Hardware,PC Accessories,2909657,636527,3394,Retail
2018,Apple,Asia-Pacific,Consumer Electronics,Tablets,38722810,13760135,3011,Enterprise
2017,Apple,South America,Wearables,Apple Watch,30160895,5891006,947,Education
2019,Microsoft,Africa,Gaming,Games,33634162,9758370,2520,Education
2014,Apple,South America,Wearables,Fitness Bands,44773348,17792567,9639,Education
2022,Microsoft,Global,Hardware,PC Accessories,40802551,10418499,225,Retail
2019,Microsoft,Europe,Gaming,Xbox Consoles,22556338,2695066,8858,Retail
2019,Apple,Global,Wearables,Fitness Bands,25941029,7517333,2111,Retail
2016,Apple,Asia-Pacific,Accessories,Chargers,686360,268337,7976,Education
2016,Microsoft,North America,Cloud Services,Enterprise Solutions,29889978,13745859,3722,Education
2017,Apple,Europe,Services,Apple Music,43757951,21354625,6153,Education
2019,Apple,Africa,Accessories,Chargers,19545172,2235479,5258,Small & Medium Business
2014,Apple,Global,Accessories,AirPods,15888342,2270534,5002,Retail
2016,Apple,Europe,Consumer Electronics,Tablets,4129639,952427,5613,Retail
2019,Microsoft,Europe,Software,Operating Systems,35841205,4399330,6561,Enterprise
2016,Microsoft,Europe,Gaming,Xbox Consoles,43191648,16336937,6767,Retail
2018,Apple,North America,Consumer Electronics,Smartphones,15783208,4122627,9033,Retail
2023,Microsoft,South America,Gaming,Games,15170372,7562547,6439,Small & Medium Business
2016,Microsoft,Europe,Gaming,Games,39450921,4448288,7207,Enterprise
2017,Microsoft,Global,Cloud Services,Azure Subscriptions,17102769,3380847,6616,Small & Medium Business
2017,Apple,Europe,Services,iCloud,4259430,452630,2745,Small & Medium Business
2014,Microsoft,South America,Cloud Services,Azure Subscriptions,47065669,21125703,2632,Enterprise
2016,Microsoft,Asia-Pacific,Hardware,PC Accessories,43208913,8109980,7789,Enterprise
2023,Apple,Asia-Pacific,Accessories,Chargers,23007863,9524672,7845,Small & Medium Business
2014,Microsoft,South America,Software,Operating Systems,38163593,5631435,6968,Enterprise
2020,Microsoft,Africa,Software,Office Suite,37928300,8420062,2331,Education
2015,Microsoft,North America,Gaming,Xbox Consoles,24616555,8600140,7137,Small & Medium Business
2015,Apple,North America,Accessories,AirPods,11367985,4073041,9419,Small & Medium Business
2016,Apple,North America,Services,iCloud,36758954,10608180,9866,Small & Medium Business
2014,Microsoft,Global,Gaming,Xbox Consoles,20859054,2319859,3106,Retail
2017,Apple,Europe,Wearables,Fitness Bands,18246655,2011712,3976,Retail
2022,Microsoft,Global,Hardware,Surface Devices,37112176,16717763,8551,Retail
2021,Microsoft,Africa,Software,Operating Systems,23575403,8605767,7180,Education
2022,Microsoft,Africa,Cloud Services,Azure Subscriptions,48363831,19708223,3412,Retail
2015,Apple,South America,Services,Apple Music,22925384,4034583,8573,Education
2019,Microsoft,North America,Cloud Services,Azure Subscriptions,3673821,841563,9348,Retail
2023,Microsoft,Europe,Cloud Services,Enterprise Solutions,40490323,4566527,9366,Retail
2023,Apple,Global,Services,iCloud,46750066,6392717,7574,Enterprise
2016,Microsoft,Europe,Hardware,Surface Devices,15875977,5900131,4504,Education
2016,Apple,North America,Consumer Electronics,Smartphones,12286280,3326400,2040,Retail
2014,Apple,Global,Accessories,AirPods,29988999,5066831,6293,Enterprise
2021,Apple,North America,Accessories,AirPods,34249824,12412159,7894,Retail
2020,Apple,Global,Consumer Electronics,Smartphones,20819935,7783828,4873,Retail
2019,Apple,Asia-Pacific,Consumer Electronics,Smartphones,21258383,3911407,8480,Education
2015,Apple,South America,Services,Apple Music,14474545,1768787,5326,Education
2015,Apple,South America,Accessories,AirPods,17839965,3768147,2626,Education
2021,Apple,Global,Wearables,Apple Watch,38633521,14928555,1603,Retail
2018,Microsoft,Africa,Gaming,Xbox Consoles,32876459,3689222,4396,Retail
2015,Microsoft,Europe,Hardware,Surface Devices,8567681,4240290,9046,Enterprise
2015,Microsoft,Europe,Software,Office Suite,4672338,1017710,2167,Enterprise
2018,Microsoft,Asia-Pacific,Cloud Services,Enterprise Solutions,41092308,5546289,210,Enterprise
2021,Apple,Europe,Services,Apple Music,49110374,9249861,2891,Enterprise
2021,Apple,South America,Accessories,AirPods,49906273,7632081,6108,Small & Medium Business
2020,Microsoft,Asia-Pacific,Software,Operating Systems,41763940,5991599,5187,Education
2019,Apple,Africa,Accessories,AirPods,31656289,6461426,6481,Small & Medium Business
2020,Apple,Europe,Wearables,Apple Watch,40927609,5452954,2566,Enterprise
2023,Microsoft,North America,Hardware,Surface Devices,39230458,6685677,1427,Small & Medium Business
2015,Microsoft,Global,Software,Operating Systems,20899833,2538578,3492,Education
2020,Apple,Europe,Services,iCloud,43285821,11783172,4453,Retail
2018,Apple,Global,Wearables,Apple Watch,17762463,3915646,374,Retail
2019,Apple,Asia-Pacific,Accessories,Chargers,6296776,1868732,3360,Education
2017,Apple,Europe,Wearables,Fitness Bands,33420811,9947940,4539,Enterprise
2019,Apple,South America,Wearables,Fitness Bands,21886019,8222894,1381,Education
2020,Microsoft,North America,Cloud Services,Azure Subscriptions,6486113,2990428,5357,Retail
2015,Apple,Asia-Pacific,Consumer Electronics,Smartphones,15408829,3143161,5261,Education
2022,Microsoft,North America,Gaming,Xbox Consoles,47610627,10516433,9243,Retail
2017,Microsoft,Global,Gaming,Xbox Consoles,14745339,4134826,4964,Small & Medium Business
2014,Apple,North America,Wearables,Apple Watch,18698843,5510960,356,Retail
2022,Apple,Europe,Wearables,Fitness Bands,31618325,6609516,6921,Retail
2017,Microsoft,South America,Software,Operating Systems,46367940,8594858,7261,Enterprise
2021,Microsoft,Europe,Cloud Services,Azure Subscriptions,29487654,13726697,9713,Retail
2014,Microsoft,South America,Cloud Services,Azure Subscriptions,30378083,8017939,3746,Enterprise
2019,Apple,Asia-Pacific,Consumer Electronics,Smartphones,16238390,4729640,273,Small & Medium Business
2016,Microsoft,Asia-Pacific,Hardware,PC Accessories,34851267,9910700,2453,Retail
2020,Apple,Global,Accessories,Chargers,47366010,12181884,5911,Education
2022,Microsoft,North America,Cloud Services,Azure Subscriptions,2308579,1141627,6520,Enterprise
2023,Microsoft,Africa,Hardware,PC Accessories,17951367,2420551,1012,Small & Medium Business
2014,Apple,South America,Accessories,Chargers,27740972,10510913,3347,Enterprise
2014,Microsoft,Africa,Software,Operating Systems,48727751,8368518,2078,Enterprise
2015,Apple,South America,Consumer Electronics,Tablets,40948561,8016558,8707,Education
2014,Microsoft,South America,Gaming,Xbox Consoles,2008567,392785,9446,Small & Medium Business
2023,Microsoft,Global,Hardware,PC Accessories,42841744,15014093,6650,Small & Medium Business
2023,Apple,Africa,Wearables,Fitness Bands,10859634,4407815,9125,Small & Medium Business
2020,Apple,Europe,Services,Apple Music,31212021,3310278,1359,Enterprise
2021,Apple,North America,Consumer Electronics,Smartphones,13834207,5733662,2058,Small & Medium Business
2016,Apple,North America,Consumer Electronics,Tablets,10922767,5102270,6094,Small & Medium Business
2018,Microsoft,Global,Software,Operating Systems,24066619,2640091,5200,Education
2015,Microsoft,Europe,Cloud Services,Azure Subscriptions,2424599,649967,4749,Retail
2018,Microsoft,South America,Software,Office Suite,28504649,8575064,3417,Education
2019,Apple,Africa,Accessories,AirPods,1018733,104813,8801,Enterprise
2018,Microsoft,Africa,Cloud Services,Enterprise Solutions,31602644,8206718,2109,Retail
2023,Microsoft,South America,Gaming,Games,28290694,7949526,8440,Education
2021,Microsoft,North America,Software,Office Suite,8550200,3761489,3676,Education
2015,Apple,North America,Accessories,Chargers,10121872,1739104,7140,Enterprise
2014,Microsoft,North America,Cloud Services,Enterprise Solutions,26042810,7170001,2092,Education
2017,Microsoft,Africa,Cloud Services,Azure Subscriptions,28313907,4870242,7316,Education
2021,Microsoft,South America,Gaming,Xbox Consoles,28026251,9505019,1142,Education
2023,Apple,Global,Consumer Electronics,Tablets,10221420,2699915,6586,Small & Medium Business
2019,Apple,Europe,Consumer Electronics,Smartphones,5080583,2399116,4020,Small & Medium Business
2018,Apple,Africa,Services,Apple Music,35336191,8078944,4989,Retail
2022,Microsoft,Global,Gaming,Games,37899395,14247666,4608,Retail
2017,Apple,North America,Services,Apple Music,14211685,6647202,1060,Retail
2023,Microsoft,Africa,Cloud Services,Enterprise Solutions,24811863,4123357,7181,Small & Medium Business
2014,Microsoft,Global,Cloud Services,Enterprise Solutions,44504148,11112726,9292,Retail
2023,Apple,Africa,Services,Apple Music,8140583,2189498,1089,Education
2015,Apple,North America,Services,iCloud,16617209,5672190,4805,Education
2020,Microsoft,Global,Software,Operating Systems,41424590,16289899,7582,Small & Medium Business
2015,Apple,South America,Services,Apple Music,31639441,4862062,5868,Small & Medium Business
2016,Microsoft,Global,Cloud Services,Enterprise Solutions,12289757,1358676,3707,Education
2016,Microsoft,South America,Hardware,PC Accessories,29873382,6987682,4037,Small & Medium Business
2016,Microsoft,South America,Hardware,PC Accessories,45473791,4740265,6040,Enterprise
2016,Apple,Asia-Pacific,Wearables,Fitness Bands,12304543,2470622,9220,Enterprise
2017,Apple,Asia-Pacific,Accessories,AirPods,9737697,1060531,5806,Enterprise
2014,Microsoft,Global,Gaming,Xbox Consoles,49142206,8281631,4496,Retail
2014,Apple,South America,Wearables,Apple Watch,33696380,8106874,2717,Small & Medium Business
2017,Apple,Global,Consumer Electronics,Tablets,13625009,4400786,8310,Enterprise
2022,Apple,North America,Wearables,Fitness Bands,49555341,14349422,7564,Education
2020,Apple,Asia-Pacific,Accessories,Chargers,6683063,2335343,7414,Enterprise
2016,Apple,South America,Services,iCloud,16167465,3857872,3124,Retail
2020,Microsoft,North America,Hardware,Surface Devices,7997707,3121860,360,Small & Medium Business
2017,Apple,Africa,Wearables,Fitness Bands,27637807,11877294,3067,Education
2019,Microsoft,South America,Gaming,Games,35548645,11252455,3720,Retail
2014,Apple,North America,Accessories,Chargers,47368993,7798849,6438,Education
2015,Microsoft,North America,Software,Operating Systems,12169624,5046794,9576,Enterprise
2018,Apple,Africa,Services,iCloud,24917260,2682194,4220,Education
2023,Apple,Global,Consumer Electronics,Tablets,13346132,3125767,7616,Retail
2014,Apple,Europe,Accessories,AirPods,37630363,10187158,3453,Small & Medium Business
2022,Microsoft,Africa,Hardware,Surface Devices,44634534,17645589,1061,Enterprise
2021,Apple,Europe,Services,iCloud,4620593,2049232,5197,Small & Medium Business
2017,Microsoft,Global,Cloud Services,Enterprise Solutions,11690534,1522872,7250,Enterprise
2019,Microsoft,South America,Gaming,Xbox Consoles,42136013,5220927,4166,Retail
2019,Apple,Africa,Accessories,AirPods,13702930,2962332,7805,Small & Medium Business
2019,Microsoft,Africa,Hardware,Surface Devices,44845691,12094207,2710,Small & Medium Business
2017,Microsoft,North America,Cloud Services,Enterprise Solutions,37745274,13837023,7820,Small & Medium Business
2021,Microsoft,North America,Software,Office Suite,48767543,20758086,4718,Education
2022,Microsoft,Africa,Gaming,Xbox Consoles,31107197,5086526,4808,Retail
2017,Apple,South America,Services,iCloud,1756146,226692,9557,Education
2020,Apple,Global,Accessories,AirPods,47601796,6967101,6024,Education
2017,Microsoft,South America,Cloud Services,Azure Subscriptions,49164264,14087551,3870,Small & Medium Business
2017,Apple,Global,Services,Apple Music,1661323,494259,1973,Small & Medium Business
2021,Microsoft,Europe,Software,Office Suite,31252512,10417173,9394,Education
2016,Microsoft,Africa,Software,Office Suite,26269652,12077212,9116,Education
2021,Apple,Europe,Accessories,Chargers,44015379,6518025,1483,Small & Medium Business
2020,Microsoft,Global,Cloud Services,Enterprise Solutions,45353972,4730322,5608,Small & Medium Business
2015,Apple,South America,Accessories,Chargers,9388106,2343149,3885,Enterprise
2022,Microsoft,Europe,Cloud Services,Enterprise Solutions,18512425,2119819,8024,Retail
2022,Apple,Africa,Wearables,Fitness Bands,38351896,7897209,2187,Small & Medium Business
2020,Apple,South America,Services,iCloud,29752985,10618821,380,Retail
2020,Apple,South America,Wearables,Fitness Bands,36449888,9290965,4166,Retail
2022,Apple,South America,Services,iCloud,2210792,757651,7404,Enterprise
2023,Apple,Global,Wearables,Fitness Bands,38890509,15685105,648,Education
2023,Apple,Asia-Pacific,Wearables,Fitness Bands,3350092,477944,445,Education
2017,Microsoft,Europe,Hardware,PC Accessories,22221034,4513184,3716,Enterprise
2021,Apple,North America,Accessories,Chargers,23687773,7683523,3854,Education
2016,Microsoft,Global,Software,Operating Systems,44097948,18442973,8059,Enterprise
2020,Apple,Asia-Pacific,Consumer Electronics,Smartphones,1086112,123045,6098,Retail
2015,Apple,Asia-Pacific,Accessories,Chargers,21920755,2911054,7753,Enterprise
2022,Microsoft,North America,Gaming,Games,18583013,3262350,3491,Retail
2018,Microsoft,Africa,Gaming,Xbox Consoles,15584832,2106495,1077,Education
2018,Microsoft,Asia-Pacific,Gaming,Xbox Consoles,36819180,10891439,7263,Enterprise
2016,Microsoft,Global,Hardware,PC Accessories,48816014,9890047,1632,Education
2014,Apple,North America,Wearables,Fitness Bands,17818032,6316835,2367,Education
2015,Microsoft,Asia-Pacific,Gaming,Xbox Consoles,6320368,2137905,6749,Small & Medium Business
2019,Microsoft,South America,Cloud Services,Enterprise Solutions,20764451,8765125,1857,Retail
2022,Apple,Europe,Consumer Electronics,Smartphones,7652968,2930689,4739,Education
2023,Apple,Africa,Accessories,AirPods,15331935,5425081,1813,Enterprise
2020,Apple,Asia-Pacific,Services,iCloud,29491148,3594398,2169,Enterprise
2014,Apple,Global,Consumer Electronics,Tablets,23705535,10067735,4103,Enterprise
2014,Apple,North America,Services,Apple Music,28880721,9951486,3947,Retail
2015,Microsoft,North America,Cloud Services,Azure Subscriptions,48888889,6045063,9373,Small & Medium Business
2014,Microsoft,North America,Software,Operating Systems,987383,415346,1774,Retail
2022,Microsoft,Global,Cloud Services,Azure Subscriptions,45782644,10325967,6580,Education
2015,Microsoft,Africa,Software,Office Suite,28977888,11424089,3484,Small & Medium Business
2021,Microsoft,Africa,Gaming,Games,4491962,2202863,6884,Enterprise
2022,Microsoft,Europe,Cloud Services,Enterprise Solutions,44319937,20024979,2914,Small & Medium Business
2017,Microsoft,Europe,Hardware,Surface Devices,18132581,4261615,470,Enterprise
2015,Microsoft,North America,Hardware,Surface Devices,14933639,1834094,7264,Retail
2016,Apple,Europe,Consumer Electronics,Tablets,35962724,8988690,6649,Enterprise
2017,Apple,Africa,Wearables,Fitness Bands,24614886,8444065,5950,Small & Medium Business
2018,Microsoft,Asia-Pacific,Gaming,Games,3247503,395653,3550,Small & Medium Business
2019,Apple,South America,Accessories,Chargers,46425774,18919762,2208,Education
2017,Microsoft,North America,Software,Office Suite,45073574,20457591,4610,Education
2018,Apple,South America,Services,iCloud,2877012,1275753,878,Small & Medium Business
2021,Apple,Africa,Wearables,Fitness Bands,44752271,20042079,8049,Small & Medium Business
2018,Microsoft,Global,Cloud Services,Azure Subscriptions,16416164,8202625,5928,Small & Medium Business
2018,Apple,Global,Wearables,Fitness Bands,6689707,974769,4928,Retail
2017,Apple,North America,Services,Apple Music,24844322,11769665,8852,Small & Medium Business
2021,Apple,North America,Wearables,Fitness Bands,22087154,6364407,8164,Enterprise
2015,Microsoft,Europe,Gaming,Games,28011435,8708583,1815,Enterprise
2015,Apple,Europe,Services,iCloud,30887525,10261052,5992,Small & Medium Business
2023,Microsoft,Global,Cloud Services,Enterprise Solutions,1403966,564475,4128,Retail
2021,Microsoft,Asia-Pacific,Hardware,PC Accessories,3886387,553225,170,Retail
2017,Apple,Asia-Pacific,Consumer Electronics,Smartphones,19822278,9821730,1850,Enterprise
2017,Microsoft,Africa,Hardware,PC Accessories,18418222,6655203,7293,Enterprise
2015,Apple,South America,Accessories,Chargers,19345208,5017345,4422,Education
2023,Microsoft,North America,Hardware,Surface Devices,46240925,10006602,6802,Retail
2016,Apple,South America,Accessories,AirPods,21467259,4236365,9761,Education
2014,Apple,North America,Wearables,Apple Watch,5260289,2575534,6243,Small & Medium Business
2015,Microsoft,Africa,Gaming,Xbox Consoles,34268230,12308373,893,Education
2015,Microsoft,Asia-Pacific,Gaming,Xbox Consoles,41250245,4133601,8147,Education
2020,Apple,Global,Wearables,Fitness Bands,17919674,8058936,183,Retail
2019,Apple,North America,Consumer Electronics,Tablets,25928900,8858969,7551,Enterprise
2023,Microsoft,Europe,Gaming,Xbox Consoles,30356811,13641957,385,Enterprise
2015,Apple,North America,Accessories,AirPods,29645111,7465183,9038,Education
2017,Apple,Asia-Pacific,Services,Apple Music,19398159,7703530,2948,Enterprise
2018,Microsoft,Africa,Cloud Services,Enterprise Solutions,24562473,10827905,1931,Enterprise
2015,Apple,Africa,Wearables,Fitness Bands,38041792,7224838,9606,Education
2015,Microsoft,Europe,Hardware,PC Accessories,10410344,4801186,6936,Retail
2015,Apple,Global,Wearables,Fitness Bands,44925878,19407512,399,Retail
2023,Apple,Global,Services,Apple Music,6577719,3204389,2348,Retail
2017,Apple,North America,Consumer Electronics,Smartphones,27617672,5254844,7541,Retail
2020,Microsoft,Asia-Pacific,Gaming,Games,18177095,2220753,5481,Retail
2014,Microsoft,Asia-Pacific,Gaming,Xbox Consoles,13952125,4155928,2569,Education
2022,Microsoft,Europe,Hardware,PC Accessories,26112775,9969929,2847,Small & Medium Business
2021,Microsoft,Global,Software,Office Suite,15303701,6735149,7690,Education
2016,Apple,North America,Consumer Electronics,Tablets,8674980,4224572,1961,Retail
2016,Apple,Global,Accessories,Chargers,20661737,3511314,2618,Small & Medium Business
2019,Apple,Africa,Wearables,Apple Watch,13669087,4486737,778,Retail
2020,Apple,Asia-Pacific,Services,Apple Music,45177310,11520525,5384,Small & Medium Business
2020,Microsoft,North America,Software,Office Suite,30022707,6359591,1942,Small & Medium Business
2015,Microsoft,Global,Hardware,PC Accessories,25049407,7230123,2635,Enterprise
2021,Apple,Europe,Consumer Electronics,Smartphones,33341843,5111833,7216,Retail
2021,Microsoft,North America,Gaming,Games,10256830,3578866,3461,Retail
2018,Apple,Africa,Wearables,Apple Watch,37910879,5315311,3129,Enterprise
2022,Apple,South America,Consumer Electronics,Tablets,27928412,4248465,198,Education
2016,Apple,Global,Accessories,Chargers,46808933,8115247,7991,Small & Medium Business
2020,Microsoft,Europe,Hardware,Surface Devices,49041078,17667278,5533,Education
2016,Apple,Asia-Pacific,Wearables,Fitness Bands,6171059,2406422,6168,Retail
2015,Microsoft,Africa,Cloud Services,Azure Subscriptions,15805493,4238790,1803,Enterprise
2023,Apple,South America,Consumer Electronics,Smartphones,13050285,3776287,3268,Education
2023,Apple,Europe,Accessories,Chargers,9451939,3439641,9394,Education
2022,Microsoft,North America,Cloud Services,Enterprise Solutions,15237649,6234210,6285,Small & Medium Business
2017,Microsoft,South America,Gaming,Xbox Consoles,27944927,13542561,5492,Education
2018,Microsoft,Africa,Hardware,PC Accessories,34463466,7512283,2977,Retail
2021,Microsoft,Europe,Gaming,Games,40404926,13685421,2385,Retail
2021,Apple,Asia-Pacific,Accessories,Chargers,43256052,11469704,1041,Education
2019,Apple,South America,Services,iCloud,19513641,2524542,2869,Enterprise
2016,Apple,Asia-Pacific,Accessories,AirPods,49630689,22827077,2966,Small & Medium Business
2015,Apple,Africa,Services,Apple Music,3404536,1204201,9080,Small & Medium Business
2014,Apple,Africa,Services,iCloud,6881149,1471854,4472,Retail
2022,Microsoft,Africa,Hardware,Surface Devices,1277786,280990,5468,Small & Medium Business
2022,Microsoft,South America,Hardware,PC Accessories,40483100,8347863,1327,Small & Medium Business
2017,Apple,Africa,Accessories,Chargers,15821117,2588317,405,Education
2018,Apple,Europe,Wearables,Apple Watch,34806268,8966881,7347,Education
2022,Microsoft,South America,Software,Operating Systems,17886146,7007333,7115,Small & Medium Business
2016,Microsoft,South America,Software,Operating Systems,22465949,10966672,6895,Education
2017,Apple,Europe,Wearables,Apple Watch,9725447,2923498,2537,Small & Medium Business
2020,Apple,Global,Consumer Electronics,Smartphones,9351601,4545695,5295,Enterprise
2017,Apple,Europe,Accessories,AirPods,32755940,5717636,7734,Small & Medium Business
2022,Apple,Africa,Consumer Electronics,Smartphones,1295053,163606,7578,Retail
2022,Microsoft,Asia-Pacific,Software,Operating Systems,8692960,946526,8052,Education
2015,Microsoft,Global,Gaming,Xbox Consoles,3247736,1059679,7312,Education
2019,Microsoft,Asia-Pacific,Gaming,Games,17075916,1928349,184,Enterprise
2017,Apple,Europe,Accessories,Chargers,2716802,1131025,2000,Retail
2017,Microsoft,Asia-Pacific,Hardware,Surface Devices,37128804,16956807,8933,Education
2017,Microsoft,Africa,Hardware,Surface Devices,14587624,2948688,3825,Enterprise
2023,Microsoft,North America,Cloud Services,Azure Subscriptions,4503223,577003,297,Enterprise
2016,Apple,Europe,Services,Apple Music,26802566,7129487,7568,Enterprise
2020,Apple,North America,Wearables,Apple Watch,49789620,6517913,8844,Small & Medium Business
2016,Microsoft,South America,Gaming,Xbox Consoles,20684592,3391057,8887,Small & Medium Business
2021,Apple,Africa,Services,iCloud,31320100,13934581,878,Small & Medium Business
2023,Microsoft,Global,Gaming,Xbox Consoles,12680358,3222577,8574,Retail
2021,Apple,Asia-Pacific,Consumer Electronics,Smartphones,49660142,21827560,5085,Retail
2019,Apple,Europe,Consumer Electronics,Smartphones,23385966,3246363,2182,Small & Medium Business
2023,Apple,Asia-Pacific,Consumer Electronics,Tablets,47730931,7642382,6333,Education
2022,Microsoft,Global,Cloud Services,Azure Subscriptions,41029668,7490126,3054,Small & Medium Business
2017,Microsoft,Europe,Cloud Services,Azure Subscriptions,40791525,13321269,9258,Enterprise
2015,Microsoft,South America,Software,Operating Systems,14977023,5968708,1903,Enterprise
2015,Microsoft,South America,Gaming,Xbox Consoles,6752742,1894726,3998,Enterprise
2015,Apple,Europe,Consumer Electronics,Tablets,22795932,3166013,2303,Education
2020,Microsoft,Africa,Hardware,Surface Devices,46247692,11484532,9925,Education
2018,Microsoft,Asia-Pacific,Gaming,Games,43731349,4866249,4115,Education
2014,Apple,Africa,Consumer Electronics,Tablets,15334447,5292974,4569,Retail
2015,Microsoft,South America,Cloud Services,Enterprise Solutions,1633739,357105,9833,Retail
2020,Microsoft,Europe,Cloud Services,Enterprise Solutions,21878275,5477206,5207,Small & Medium Business
2021,Apple,North America,Services,Apple Music,31227723,10016478,6568,Education
2018,Apple,Asia-Pacific,Services,Apple Music,4209776,649558,2274,Education
2015,Apple,South America,Consumer Electronics,Smartphones,8446680,3243748,3457,Enterprise
2021,Apple,Global,Wearables,Fitness Bands,33889120,12196225,5739,Enterprise
2023,Apple,South America,Services,Apple Music,41669391,19448001,8418,Education
2015,Microsoft,South America,Cloud Services,Enterprise Solutions,31677844,6119695,199,Small & Medium Business
2020,Apple,North America,Accessories,Chargers,23515658,4713691,5147,Small & Medium Business
2022,Apple,Asia-Pacific,Services,iCloud,19570080,8797954,5134,Small & Medium Business
2022,Microsoft,South America,Hardware,PC Accessories,14271658,4968011,7262,Enterprise
2023,Apple,Asia-Pacific,Services,iCloud,38224619,10663931,6608,Small & Medium Business
2017,Apple,South America,Consumer Electronics,Tablets,45887733,19571384,7199,Enterprise
2022,Apple,Africa,Accessories,Chargers,31958385,12386286,8598,Enterprise
2020,Apple,South America,Consumer Electronics,Smartphones,44799017,15830703,1078,Enterprise
2019,Apple,South America,Consumer Electronics,Smartphones,25602187,8255747,1097,Enterprise
2017,Microsoft,North America,Cloud Services,Enterprise Solutions,21233257,8662411,2301,Education
2018,Microsoft,Europe,Cloud Services,Enterprise Solutions,35374509,4963694,1555,Enterprise
2018,Apple,Global,Wearables,Apple Watch,5001377,1645243,7749,Education
2016,Apple,Europe,Consumer Electronics,Tablets,49714995,7582909,6617,Small & Medium Business
2019,Apple,South America,Accessories,AirPods,8450620,3174024,6792,Enterprise
2020,Apple,Asia-Pacific,Services,iCloud,36403308,7785176,4911,Education
